Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Argentina,ARG,43.292,43.861,43.807,43.588,43.437,43.363,43.193,43.145,43.955,44.641,40.724,45.309,47.884,49.36,48.47
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Australia,AUS,55.519,55.803,55.698,55.443,55.079,55.559,55.948,56.483,57.303,57.846,56.383,58.202,60.026,60.146,59.862
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Brazil,BRA,48.735,47.928,47.984,48.08,48.325,47.824,46.239,46.262,46.712,47.37,42.158,43.852,47.661,48.045,48.085
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Canada,CAN,57.317,57.221,57.44,57.685,57.224,57.125,57.059,57.453,57.595,58.029,53.725,56.185,57.913,57.919,57.204
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,China,CHN,61.17,61.141,60.803,60.487,60.274,60.046,59.821,59.508,59.23,58.822,57.306,58.762,57.303,57.516,57.194
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Germany,DEU,49.065,50.644,50.874,51.491,51.946,52.152,52.768,53.309,53.609,54.191,53.191,53.291,54.04,54.264,53.913
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,India,IND,26.232,25.465,24.696,24.604,24.561,24.55,24.551,24.549,24.53,24.937,24.243,26.229,28.127,29.976,31.367
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,"Iran, Islamic Rep.",IRN,11.985,10.715,11.924,10.673,10.408,11.543,12.793,13.885,14.035,13.848,11.563,10.979,11.329,11.446,11.352
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Italy,ITA,34.244,34.434,34.711,34.184,34.262,34.391,34.95,35.551,35.937,36.346,35.483,35.644,36.727,37.693,38.041
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Japan,JPN,46.115,46.095,46.083,46.944,47.52,47.883,48.785,49.681,51.199,52.086,51.747,52.15,52.877,53.574,54.019
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Kenya,KEN,68.939,69.063,69.137,69.136,69.192,69.255,69.318,66.111,62.842,59.507,57.976,57.869,57.654,57.72,57.579
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Norway,NOR,61.312,61.286,61.283,60.95,60.527,60.176,60.089,59.594,59.652,59.896,59.443,59.124,59.707,59.634,59.438
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,South Africa,ZAF,34.376,36.272,36,36.611,36.166,36.993,36.33,37.028,36.693,36.186,33.604,31.625,32.881,34.652,34.221
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Spain,ESP,41.252,40.883,39.653,38.738,39.245,40.224,41.257,42.327,43.036,43.708,42.038,43.625,44.797,45.507,45.714
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Sweden,SWE,53.963,54.918,55.124,55.396,55.654,56.165,56.715,57.127,57.462,57.079,55.601,55.412,56.376,56.905,56.33
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Belarus,BLR,54.773,55.207,55.573,55.827,56.02,56.149,56.266,56.201,55.989,56.387,55.947,56.221,56.186,55.794,55.406
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Argentina,ARG,68.413,69.344,68.789,68.381,67.331,66.619,65.778,65.102,64.656,64.449,58.819,65.23,67.062,67.886,66.447
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Australia,AUS,68.765,68.717,68.123,67.392,66.778,66.878,66.703,66.88,67.32,67.52,65.564,67.119,68.539,68.654,68.265
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Brazil,BRA,72.893,72.479,71.988,71.951,71.597,70.234,67.927,66.735,66.841,67.373,62.709,65.128,68.161,68.284,68.252
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Canada,CAN,65.361,65.933,65.965,66.011,65.664,65.614,65.085,65.785,65.952,66.198,62.188,64.488,65.787,65.821,64.963
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,China,CHN,74.177,73.987,73.427,72.878,72.441,71.977,71.528,70.957,70.425,69.678,67.938,69.243,67.639,67.893,67.514
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Germany,DEU,61.628,62.3,62.964,62.972,63.081,62.971,63.299,63.619,64.19,64.742,63.26,63.349,64.21,64.41,63.894
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,India,IND,73.589,73.214,72.772,72.566,72.367,72.107,71.812,71.465,71.098,71.508,69.472,70.859,72.586,73.538,73.9
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,"Iran, Islamic Rep.",IRN,60.132,59.513,60.534,62.047,61.785,62.141,61.85,62.986,63.158,63.991,62.393,62.749,62.024,61.637,61.071
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Italy,ITA,54.549,54.137,53.262,51.724,51.521,51.961,52.537,52.964,53.321,53.516,52.734,52.571,53.959,54.828,55.118
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Japan,JPN,67.588,67.646,67.43,67.369,67.701,67.678,68.003,68.353,69.199,69.536,69.191,69.096,69.374,69.441,69.606
